"Updated","Type","Module","Source","F/P","Data"
"2024-03-18 09:14:02","Domain Name","sfp_dnsresolve","target.example.com","","target.example.com"
"2024-03-18 09:14:05","IP Address","sfp_dnsresolve","target.example.com","","203.0.113.42"
"2024-03-18 09:14:33","Email Address","sfp_hunter","target.example.com","","admin@target.example.com"
"2024-03-18 09:14:34","Email Address","sfp_hunter","target.example.com","","j.doe@target.example.com"
"2024-03-18 09:15:10","Subdomain","sfp_crt","target.example.com","","vpn.target.example.com"
"2024-03-18 09:15:11","Subdomain","sfp_crt","target.example.com","","mail.target.example.com"
"2024-03-18 09:16:48","TCP Port Open","sfp_portscan_tcp","203.0.113.42","","203.0.113.42:22"
"2024-03-18 09:16:49","TCP Port Open","sfp_portscan_tcp","203.0.113.42","","203.0.113.42:443"
"2024-03-18 09:18:20","Hosted JavaScript","sfp_spider","https://target.example.com","","https://target.example.com/app.js"
"2024-03-18 09:19:02","Human Name","sfp_names","target.example.com","","John Doe"
